Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P04695	P04695	GNAT1	GNAT1					11234020:0114:LC|22448927:0114:LC|7969474:0114:LC|8259210:0114:LC
P04695	P04972	GNAT1	PDE6G					11234020:0114:LC
P04695	P62871	GNAT1	GNB1					16892066:0028:LC|14578377:0401:LC|8552184:0114:LC|16892066:0415:LC
P04896	P04896	GNAS	GNAS					9395396:0114:LC
P04972	P11541	PDE6G	PDE6A					30820458:0114:LC|21439020:0071:LC
P04972	P23439	PDE6G	PDE6B					30820458:0114:LC|21439020:0071:LC
P05630	P05632	ATP5F1D	ATP5F1E					16728506:0114:LC|22733764:0114:LC|19995987:0071:LC|22733764:0071:LC
P05631	P05632	ATP5F1C	ATP5F1E					16728506:0114:LC|22733764:0114:LC|19995987:0071:LC|22733764:0071:LC
P05631	P19483	ATP5F1C	ATP5F1A					17698806:0114:LC|8065448:0114:LC
P05632	P19483	ATP5F1E	ATP5F1A					16728506:0114:LC|22733764:0114:LC|19995987:0071:LC|22733764:0071:LC
P05805	P05805	P05805	P05805					8168476:0114:LC
P06504	P06504	CRYGS	CRYGS					9681865:0114:LC
P07107	P07107	DBI	DBI					11491287:0114:LC
P07353	P07353	IFNG	IFNG					10666622:0114:LC|15299487:0114:LC
P07435	P07435	P07435	P07435					8901871:0114:LC|15373829:0114:LC|8836103:0114:LC|11114310:0114:LC
P07552	P13272	UQCR11	UQCRFS1					9651245:0114:LC|12885240:0114:LC|12269811:0114:LC
P07552	P31800	UQCR11	UQCRC1					9651245:0114:LC|12885240:0114:LC|12269811:0114:LC
P07688	P07688	CTSB	CTSB					15084146:0114:LC
P08037	P08037	B4GALT1	B4GALT1					10393171:0114:LC|16497331:0114:LC|11485999:0114:LC|15736931:0114:LC|11916963:0114:LC|15449940:0114:LC|11419947:0114:LC|23942731:0114:LC
P08165	P08165	FDXR	FDXR					11053423:0114:LC
P08168	P08168	SAG	SAG					23604253:0114:LC|22306737:0114:LC|10219246:0114:LC|18547524:0067:LC|9495348:0114:LC|18547524:0030:LC|18547524:0042:LC
