Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
O14104	O14104	LYS12	LYS12	SPAC31G5.04	SPAC31G5.04	SPAC31G5.04	SPAC31G5.04	22105743:0114:LC
O14114	O14114	O14114	O14114	SPAC31G5.19	SPAC31G5.19	SPAC31G5.19	SPAC31G5.19	26771498:0018:HT
O14114	O36024	O14114	FTA1	SPAC31G5.19	SPAC4F10.12	SPAC31G5.19	SPAC4F10.12	26771498:0018:HT
O14114	Q9P7G0	O14114	Q9P7G0	SPAC31G5.19	SPAC1142.04	SPAC31G5.19	SPAC1142.04	26771498:0018:HT
O14114	Q9Y820	O14114	Q9Y820	SPAC31G5.19	SPBC1105.07C	SPAC31G5.19	SPBC1105.07C	26771498:0018:HT
O14119	O14119	O14119	O14119	SPAC3A11.04	SPAC3A11.04	SPAC3A11.04	SPAC3A11.04	26771498:0018:HT
O14122	O60130	CUL4	O60130	SPAC3A11.08	SPBC16G5.16	SPAC3A11.08	SPBC16G5.16	26771498:0018:HT
O14122	O74560	CUL4	RAF2	SPAC3A11.08	SPCC970.07C	SPAC3A11.08	SPCC970.07C	25090107:0018:LC|16157682:0018:LC
O14128	O14128	PIL2	PIL2	SPAC3C7.02C	SPAC3C7.02C	SPAC3C7.02C	SPAC3C7.02C	26771498:0018:HT
O14128	O14176	PIL2	PRP40	SPAC3C7.02C	SPAC4D7.13	SPAC3C7.02C	SPAC4D7.13	26771498:0018:HT
O14128	O42709	PIL2	MCM10	SPAC3C7.02C	SPBC1347.10	SPAC3C7.02C	SPBC1347.10	23695164:0018:HT|26771498:0018:HT
O14128	O42869	PIL2	O42869	SPAC3C7.02C	SPAC3G9.05	SPAC3C7.02C	SPAC3G9.05	26771498:0018:HT
O14128	O43075	PIL2	O43075	SPAC3C7.02C	PI053|SPBC8D2.12C	SPAC3C7.02C	SPBC8D2.12C	26771498:0018:HT
O14128	O74372	PIL2	DUO1	SPAC3C7.02C	SPBC32F12.08C	SPAC3C7.02C	SPBC32F12.08C	26771498:0018:HT
O14128	O74994	PIL2	RNG3	SPAC3C7.02C	SPCC613.04C	SPAC3C7.02C	SPCC613.04C	26771498:0018:HT
O14128	O94294	PIL2	SOG2	SPAC3C7.02C	SPBC887.09C	SPAC3C7.02C	SPBC887.09C	26771498:0018:HT
O14128	O94374	PIL2	IMP1	SPAC3C7.02C	SPBC1604.08C	SPAC3C7.02C	SPBC1604.08C	26771498:0018:HT
O14128	O94425	PIL2	O94425	SPAC3C7.02C	SPBC660.05	SPAC3C7.02C	SPBC660.05	26771498:0018:HT
