Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P50220	Q9WUU6	NKX2-1	HNF4G			MGI:108067	MGI:1353604	20211142:0018:HT
P50247	P50247	AHCY	AHCY			MGI:87968	MGI:87968	PDB_5AXC:0114:LC|PDB_5AXD:0114:LC|PDB_5AXA:0114:LC|PDB_5AXB:0114:LC
P50396	Q62108	GDI1	DLG4			MGI:99846	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
P50404	P50404	SFTPD	SFTPD			MGI:109515	MGI:109515	19007302:0071:LC|11278637:0401:LC|19007302:0404:LC
P50431	P50431	SHMT1	SHMT1			MGI:98299	MGI:98299	11063567:0114:LC
P50516	P63101	ATP6V1A	YWHAZ			MGI:1201780	MGI:109484	19562802:0028:LC|16615898:0027:LC
P50518	P63101	ATP6V1E1	YWHAZ			MGI:894326	MGI:109484	19562802:0028:LC|16615898:0027:LC
P50540	Q91ZW3	MXI1	SMARCA5			MGI:97245	MGI:1935129	20211142:0018:HT
P51141	Q8R4A3	DVL1	DACT1			MGI:94941	MGI:1891740	14636582:0096:LC|19637179:0017:LC|21718540:0007:LC|14636582:0017:LC
P51150	Q91XL9	RAB7A	OSBPL1A			MGI:105068	MGI:1927551	30012887:0114:LC
P51450	Q61545	RORC	EWSR1			MGI:104856	MGI:99960	20211142:0018:HT
P51450	Q99JB6	RORC	FOXP3			MGI:104856	MGI:1891436	18368049:0007:LC|18434325:0007:LC|18368049:0663:LC|18368049:0416:LC
P51612	P54728	XPC	RAD23B			MGI:103557	MGI:105128	22431748:0401:LC|22431748:0004:LC|21962512:0006:LC
P51637	P82350	CAV3	SGCA			MGI:107570	MGI:894698	8663016:0401:LC|24952909:0006:LC
P51637	Q01815	CAV3	CACNA1C			MGI:107570	MGI:103013	16648270:0006:LC|24952909:0006:LC
P51942	Q9D882	MATN1	FAM241B			MGI:106591	MGI:1917144	11591653:0397:HT
P51943	P97377	CCNA2	CDK2			MGI:108069	MGI:104772	8534916:0019:LC|8730099:0019:LC|9371520:0019:LC|19592082:0006:LC
P51945	Q64364	CCNG1	CDKN2A			MGI:102890	MGI:104738	12556559:0019:LC|12167164:0019:LC|12167164:0004:LC|12556559:0004:LC
P52189	Q62108	KCNJ4	DLG4			MGI:104743	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
P52293	P52293	KPNA2	KPNA2			MGI:103561	MGI:103561	11448961:0114:LC
P52293	Q3UHK8	KPNA2	TNRC6A			MGI:103561	MGI:2385292	28837617:0114:LC
P52293	Q3UYV9	KPNA2	NCBP1			MGI:103561	MGI:1891840	22248489:0114:LC
P52293	Q9JIH2	KPNA2	NUP50			MGI:103561	MGI:1351502	16222336:0114:LC
P52293	Q9JIK5	KPNA2	DDX21			MGI:103561	MGI:1860494	23910026:0114:LC
P52332	P52332	JAK1	JAK1			MGI:96628	MGI:96628	23990909:0415:LC|7544789:0424:LC|7657660:0423:LC|12351625:0423:LC
P52480	P63101	PKM	YWHAZ			MGI:97591	MGI:109484	19562802:0028:LC|16615898:0027:LC
P52633	P52633	STAT6	STAT6			MGI:103034	MGI:103034	14704793:0018:LC|20211142:0018:HT|8085155:0030:LC
P52800	P54763	EFNB2	EPHB2			MGI:105097	MGI:99611	8878483:0019:LC|8878483:0045:LC|11780069:0114:LC
P52946	Q6ZWS8	PDX1	SPOP			MGI:102851	MGI:1343085	15121856:0018:LC|15121856:0019:LC|17126328:0096:LC|15121856:0004:LC|17126328:0006:LC
P53368	P53368	NUDT1	NUDT1			MGI:109280	MGI:109280	29281266:0114:LC
P53566	P53566	CEBPA	CEBPA			MGI:99480	MGI:99480	17551013:0012:LC|16461934:0007:LC
P53566	P97875	CEBPA	JDP2			MGI:99480	MGI:1932093	20211142:0018:HT
P53568	P97875	CEBPG	JDP2			MGI:104982	MGI:1932093	20211142:0018:HT
P53612	Q9JHK4	RABGGTB	RABGGTA			MGI:99537	MGI:1860443	21520375:0114:LC
P53762	P97459	ARNT	NPAS1			MGI:88071	MGI:109205	27782878:0114:LC|15635607:0019:LC|27782878:0004:LC
P53762	P97481	ARNT	EPAS1			MGI:88071	MGI:109169	26245371:0071:LC|26245371:0096:LC|30804532:0114:LC|26245371:0007:LC|26245371:0114:LC
P53762	Q61045	ARNT	SIM1			MGI:88071	MGI:98306	9020169:0019:LC|11782478:0019:LC|9020169:0018:LC
