Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9VHE3	Q9VWD5	GOLGIN-45	DMEL\CG14232	CG9356|DMEL_CG9356	CG14232|DMEL_CG14232	FBGN0037688	FBGN0031061	14605208:0398:HT|14605208:0018:HT
Q9VHE3	Q9VWQ6	GOLGIN-45	DMEL\CG18259	CG9356|DMEL_CG9356	CG18259|DMEL_CG18259	FBGN0037688	FBGN0030956	14605208:0398:HT|14605208:0018:HT
Q9VHE5	Q9VV44	RPL34B	CPR72EA	CG9354|DMEL_CG9354	CG4818|DMEL_CG4818	FBGN0037686	FBGN0036617	14605208:0398:HT|14605208:0018:HT
Q9VHE5	Q9W0P0	RPL34B	DMEL\CG3386	CG9354|DMEL_CG9354	CG3386|DMEL_CG3386	FBGN0037686	FBGN0035152	14605208:0398:HT|14605208:0018:HT
Q9VHF0	Q9VHF0	SRR	SRR	CG8129|DMEL_CG8129	CG8129|DMEL_CG8129	FBGN0037684	FBGN0037684	14605208:0398:HT|14605208:0018:HT
Q9VHF4	Q9VQV0	CG33188	Q9VQV0	CG45050|DMEL_CG45050		FBGN0266410		14605208:0398:HT|14605208:0018:HT
Q9VHG0	Q9VHI5	HP1E	Q9VHI5	CG8120|DMEL_CG8120		FBGN0037675		14605208:0398:HT
Q9VHG0	Q9VIK6	HP1E	CEN	CG8120|DMEL_CG8120	CG1962|DMEL_CG1962	FBGN0037675	FBGN0032876	14605208:0398:HT|14605208:0018:HT
Q9VHG0	Q9VRV6	HP1E	DMEL\CG7386	CG8120|DMEL_CG8120	CG7386|DMEL_CG7386	FBGN0037675	FBGN0035691	14605208:0398:HT|14605208:0018:HT
Q9VHG0	Q9VSM9	HP1E	CDC6	CG8120|DMEL_CG8120	CG5971|DMEL_CG5971	FBGN0037675	FBGN0035918	14605208:0398:HT|14605208:0018:HT
Q9VHG0	Q9VYI5	HP1E	FAD1	CG8120|DMEL_CG8120	CG4407|DMEL_CG4407	FBGN0037675	FBGN0030431	14605208:0398:HT|14605208:0018:HT
Q9VHG3	Q9VJQ0	SAGE	DMEL\CG4168	CG12952|DMEL_CG12952	CG4168|DMEL_CG4168	FBGN0037672	FBGN0028888	14605208:0398:HT|14605208:0018:HT
Q9VHG5	Q9VHG6	IBF1	IBF2	CG8436|DMEL_CG8436	CG9740|DMEL_CG9740	FBGN0037670	FBGN0037669	14605208:0398:HT|14605208:0018:HT
Q9VHG6	Q9VHG6	IBF2	IBF2	CG9740|DMEL_CG9740	CG9740|DMEL_CG9740	FBGN0037669	FBGN0037669	14605208:0398:HT|14605208:0018:HT
Q9VHG6	Q9VLJ9	IBF2	MRPL51	CG9740|DMEL_CG9740	CG13098	FBGN0037669	FBGN0032053	14605208:0398:HT|14605208:0018:HT
Q9VHG6	Q9VPK4	IBF2	DMEL\CG11454	CG9740|DMEL_CG9740	CG11454|DMEL_CG11454	FBGN0037669	FBGN0031224	14605208:0398:HT|14605208:0018:HT
Q9VHG6	Q9VR64	IBF2	CLUAP1	CG9740|DMEL_CG9740	CG17599|DMEL_CG17599	FBGN0037669	FBGN0031196	14605208:0398:HT|14605208:0018:HT
Q9VHG6	Q9XZU7	IBF2	BIP2	CG9740|DMEL_CG9740	CG2009	FBGN0037669	FBGN0026262	14605208:0398:HT|14605208:0018:HT
Q9VHG8	Q9VZJ3	DMEL\CG16734	RCD5	CG16734|DMEL_CG16734	CG1135|DMEL_CG1135	FBGN0037667	FBGN0263832	14605208:0398:HT|14605208:0018:HT
